,rate,user,comment,comment_time,helpful
48,1 stars,Kevin Curtis (Urziel99),"Paypal rewards have so many exclusions as to be useless. Hard to justify having a rewards deal on big box stores when you exclude the major departments in those stores, or you don't allow things like in store pickup.",2024-03-16,1 person found this review to be helpful
49,5 stars,Appolo Espo,,2024-03-16,
50,1 stars,Dragos Bolohan,0 value for me. app ”find” code but in reality is useless.,2024-03-15,4 out of 8 people found this helpful
51,1 stars,Ryan Alldowell,99.9999999999999999999% of things i try to by there are no codes for them .like yesterday i  try to by a lego set and there were no codes. unless  it is the most out of pocket thing you're not finding anything,2024-03-15,9 out of 15 people found this helpful
52,5 stars,blaze jackson,Honestly everyone should use this extension. You have everything to gain and nothing to lose.,2024-03-14,9 out of 11 people found this helpful
53,1 stars,K-NedaPlay,pesimo,2024-03-13,
54,5 stars,D. B.,Just got free shipping at the Epson site.  Made the purchase even cheaper than on Amazon!,2024-03-12,2 out of 7 people found this helpful
55,1 stars,Markos mora,"its become completely useless. honey used to offer coupon codes, which is why i singed up. now its nothing more than something to push offers for  things like ""PayPal rewards"" and stupid stuff like that. it  also sends sales and special offers but its always for things i have no use for",2024-03-12,6 out of 9 people found this helpful
56,2 stars,Kester,"USELESS.. NEVER GIVE ME DISCOUNC 
ME WAN DISCOUNT.",2024-03-12,13 out of 15 people found this helpful
57,1 stars,Aliens Poop,,2024-03-12,
58,1 stars,Regina Gomez,"When I click into the extension, all that populates is a blank screen.",2024-03-12,7 out of 7 people found this helpful
59,5 stars,Karam Majdoubeh,,2024-03-11,
60,5 stars,Jude Osei Bonsu,Worked right on top of in app discounts which gave me double discount! Saved loads,2024-03-11,3 out of 5 people found this helpful
61,5 stars,M Tiffin,Love honey!,2024-03-11,4 out of 7 people found this helpful
62,1 stars,Floris Buliga,Useless,2024-03-11,6 out of 11 people found this helpful
63,3 stars,Nina Leigh,"I enjoy having honey, however by the time I get an email for a price drop here on eastern time zone the offer is already gone each time.",2024-03-10,2 out of 4 people found this helpful
64,5 stars,Hassan Shahbaz,wow everything is amazing from finding coupons and other things,2024-03-09,6 out of 8 people found this helpful
65,4 stars,Crystal Green,Helped a lot with my online shopping sprees and brought down my price,2024-03-09,6 out of 8 people found this helpful
66,1 stars,Jun Ikeda (池田淳),"Users beware.
They owe me money and the redeem doesn't work.
Customer service ghosts you once they find out what email you use.
They also blocks you on social media platforms.  
Honey friend?  yeah right
Got to report them and have BBB step in and maybe on trustpilot?  
Keep this up and they probably have a class action lawsuit.
I'm not alone in this
I don't recommend using it",2024-03-09,4 out of 8 people found this helpful
67,2 stars,Shrimp Curls,It works on maybe 4 websites - great when it does work annoying when it doesn't. On the sites it does work and you need to specify what version you want to save of an item and you want all selections of that item well you're out of luck unless you go to multiple different sites which is difficult as this only works with a very few sites.,2024-03-09,2 out of 3 people found this helpful
68,5 stars,Joulio Photographe,Des rabais ici et la.. app gratuite alors rien a dire ! ♥,2024-03-09,2 out of 2 people found this helpful
69,5 stars,Kim “Bluenose” Upton,This app has saved me lots of money   Love that it automatically comes up on check out - enables me to buy more with incredible savings,2024-03-06,8 out of 11 people found this helpful
70,5 stars,Sofia-Anna Tsiligianni,Honey money,2024-03-06,5 out of 10 people found this helpful
71,5 stars,Poppy Crowhurst,literally saces me money how oculd i not live it,2024-03-05,4 out of 8 people found this helpful
72,5 stars,A & J B,"ITS SO GOOD YOU CAN SAVE 50% DISCOUNTS AND STUFF I ALMOST SAVES 1,000$",2024-03-04,11 out of 15 people found this helpful
73,5 stars,Zack Busuttil,I loooveeee honey! MrBeast is my favourite,2024-03-04,9 out of 12 people found this helpful
74,5 stars,caroline p_g,just started and lets see,2024-03-04,3 out of 8 people found this helpful
75,2 stars,Noman Ansari,"It was an amazing app in Canada a few years ago. Now, all the great gift card options like Amazon are gone.",2024-03-03,6 out of 7 people found this helpful
76,1 stars,Nick Musgrave,"Robert Robinson is 100% right
i used it for a lot of things and only rewarded with about a 3rd of my cash back",2024-03-03,1 person found this review to be helpful
77,1 stars,Er K,"great useful app, but how do I turn this POS off from popping down from the menu bar every time I go anywhere on any website. like please, I'll come to you when I need it, stop popping down",2024-03-03,3 out of 4 people found this helpful
78,1 stars,Robert Robinson,"it doesn't seem to want to work half of the time. Even when activating the cash back rewards, my purchases never seem to show up on my account. More than half of my purchases go unreported to Honey and I don't get my rewards. I have even gone as saving the receipts as pdf files and sending them to Honey and no one will even acknowledge my emails.",2024-03-03,5 out of 5 people found this helpful
79,5 stars,Ella Kristine,its magic!,2024-03-02,1 out of 2 people found this helpful
80,5 stars,Rezwana,"amazing, whoever invented honey i love u frfr",2024-03-02,4 out of 6 people found this helpful
81,2 stars,Mandi Twining,"I have been using Honey for years. It was great, until they switched to Paypal rewards. Now I'm considering removing the plug in because there is no benefit. I still like the price tracking option, but I rarely find any savings or coupons that save me money or give me rewards since they switched.",2024-03-01,6 out of 7 people found this helpful
82,1 stars,A M,Codes don't work and/or are expired! No way to report dead codes! Pointless extension and I'm removing it asap!,2024-03-01,4 out of 5 people found this helpful
83,1 stars,Emilia Lawrenece,BRUH why do you annoy me all the time but then the one time i need you u give me zero code!!!! @honey make it make sense,2024-03-01,6 out of 7 people found this helpful
84,4 stars,Aziz Plays YT,Honey is really good. it can find discounts but it won't work for ebay when i tryed it. Don't worry it's not malware.,2024-03-01,1 out of 2 people found this helpful
85,5 stars,lesley scarrott,very easy to use and good value,2024-02-29,1 out of 2 people found this helpful
86,1 stars,Oliver Weber (Otschi),"vor Jahren hat honey mal funktioniert, Jetzt sagt einem die extension nur naoch dass man bereits dem besten preis hat",2024-02-29,2 out of 2 people found this helpful
87,5 stars,Elio Augeard,super et très efficace rien a dire !!,2024-02-28,2 out of 2 people found this helpful
88,5 stars,patricia parkinson,i have just finished shopping at hi smile.com and it found 4 coupons and saved me £9.10,2024-02-27,6 out of 7 people found this helpful
89,5 stars,Emily Thurman,go to if you shop at all !!!,2024-02-27,4 out of 5 people found this helpful
90,3 stars,Adam,"Have been using Honey for a long time.  As always the big guys get ahold of it and ruin it.  GREAT in that it has saved me a TON of money.   triple up on points (credit card, honey, store you're shopping).  The extension is an absolute nusience now that PayPal has it.  It's constantly trying to get in the way of my checkout experience on all websites.  This is on desktop only.",2024-02-25,13 out of 16 people found this helpful
91,5 stars,Matej Marinkovic,I love this extension. It´s great that its free and it saves me a looot of money.,2024-02-25,1 out of 3 people found this helpful
92,5 stars,bran bi,"it may look weird that im rating it  5 stars but its true it can look for price, drops give you codes and 
  compare the selected item from different shopping websites i would suggest getting this extension",2024-02-24,0 out of 4 people found this helpful
93,5 stars,Fabian Ong,Amazingly fast to track crypto!!,2024-02-24,0 out of 5 people found this helpful
94,3 stars,Gee Jerni (TheSaintLouisKid),"I like it because I do get dollar points that I can cash in but like others have said, since paypal bought it, I have not recieved any promo codes since and that's not cool. I am certain that I will be taking uninstalling extention because at some point, I wont be able to get any dollars points.",2024-02-23,2 out of 3 people found this helpful
95,5 stars,Arsh Bawa,good saves a lot of money,2024-02-23,4 out of 7 people found this helpful
96,1 stars,Lcminescent,"Claims to search for discounts, but it only gives you ""points"". You can never get enough points for them to ever be useful.",2024-02-22,7 out of 11 people found this helpful
97,4 stars,Vøid,"Listen, it doesn't always work, but when it does it's actually free money. There's 0 harm for having this extension.",2024-02-21,8 out of 9 people found this helpful
98,1 stars,anthony russo,"The worse,never get credit at all,when I buy threw app.do not use...",2024-02-20,6 out of 13 people found this helpful
99,4 stars,Sabrina Milne,,2024-02-20,
100,1 stars,Laws of the Cosmos,Used to work until PayPal bought it and ruined it. Haven't got one promo code since.,2024-02-20,12 out of 17 people found this helpful
101,4 stars,Maurice Beliveau,et bien je trouve ca pratique merci,2024-02-19,2 out of 3 people found this helpful
102,4 stars,Jonathan Smith,"Honey shows up at check out, finds me coupons for items I am purchasing. I find it helpful, as it it helping me save money.",2024-02-18,7 out of 10 people found this helpful
103,2 stars,Rick Sabian,"Sometimes helpful, frequently inaccurate, pop ups getting in my way on amazon annoying as hell!",2024-02-18,11 out of 12 people found this helpful
104,1 stars,Deirdre Krause,Doesn't work!!,2024-02-18,10 out of 15 people found this helpful
105,5 stars,Jeanette Gratton,"Love Honey, automatically searches for best coupon and if can't find saving you earn Honey Gold, which once reached 1300 gold can be traded in for a £10 voucher, whats not to love.",2024-02-18,3 out of 6 people found this helpful
106,5 stars,Jodi Perry,it works you just need to use it correctly.  I get cash back on my paypal and I can add it to my account.,2024-02-17,4 out of 5 people found this helpful
107,5 stars,San AC 530,"just bought a keyboard,  and with 2 clicks i saved 7$ easy and quick, there's no way people don't use this",2024-02-17,6 out of 8 people found this helpful
108,1 stars,Loypopop,"Have never gotten any discount, had it for two years. Only gives me gold coins that i don't even know what to do with.",2024-02-17,6 out of 10 people found this helpful
109,1 stars,Ephriam Friedman,It does not work!!!,2024-02-17,6 out of 10 people found this helpful
110,1 stars,Jeremy Dennis,Garbage doesn't work nor does the terrible login system,2024-02-17,6 out of 7 people found this helpful
111,1 stars,Emilio L,"Accumulated gold will not be redeemed...
I have accumulated gold and can't redeem it and haven't been able to for over a year.
Worst customer service, no answer to emails or the chat.",2024-02-16,5 out of 6 people found this helpful
112,3 stars,Sal,"Please fix!! On Aliexpress it automatically select default shipping. I am selecting another shipping other than the default one, however honey checkout automatically selects the default shipping and there is no way to re-select your desire shipping.",2024-02-15,3 out of 4 people found this helpful
113,5 stars,lucasboy132,it almost cost no time and it saves you money,2024-02-15,7 out of 12 people found this helpful
114,5 stars,Ирина Срибная,,2024-02-14,
115,5 stars,Dr. Bhuvarahan Raman,,2024-02-14,
116,5 stars,caragh welsh,great for discounts,2024-02-14,8 out of 11 people found this helpful
117,2 stars,Fanny Noaksson,funkar ju ej som tillägg,2024-02-13,3 out of 6 people found this helpful
118,1 stars,Safwan Siddique,meri macbook pe discount nhi tha,2024-02-13,
119,5 stars,tyui dsawe,,2024-02-13,
120,5 stars,gotpitbull,"I love honey! Her name is catchy- smart move there..I've had many deal apps/ ext's, most never pay as they say, just send 100 emails a day, pop up all the time. Honey can annoy me w/her pop ups as I'm trying to shop. But, when I'm at a store, I always say- where's honey?! Like a real person, yikes. I always get redeemed per pay-pal, Like the pay later option, my only gripe- she needs to up the cashback at walmart, and few others, base it on shopping history.they all know how often we're there... Show more",2024-02-13,6 out of 7 people found this helpful
121,2 stars,Cindy Fisher,"If you no longer have a PayPal account this extention isn't worth it.  All the bonus points you build up are for PayPal users, which I stopped being once they went totally out of control and got political.  It also annoyingly pops up all the time and rarely has a coupon that works.  Going to try something else.",2024-02-12,13 out of 20 people found this helpful
122,1 stars,Vebjørn Stadsvoll,"Used to be useful, automatically finding coupon codes. Now it just gives you useless ""gold"" on sites I never visit.",2024-02-10,12 out of 17 people found this helpful
123,5 stars,iax olz,"works well, ive saved a few bux with this :3",2024-02-08,12 out of 17 people found this helpful
124,4 stars,Daan Vanderbeke,,2024-02-08,
125,1 stars,Michael U,Owned by paypal who thought it was right to charge people for disinformation. Wouldn't work when I tried it without signing in either. What a joke.,2024-02-07,13 out of 34 people found this helpful
126,5 stars,Aman Sahu,"one of the most used extension by me, which saves thousands of rupees and time while I'm doing online shopping.",2024-02-06,13 out of 17 people found this helpful
127,5 stars,Claire Young,love iT,2024-02-05,6 out of 16 people found this helpful
128,4 stars,tim cao,I like it,2024-02-05,6 out of 14 people found this helpful
129,5 stars,Tatyanna Taylor,"some of you guys must be smoking something good. I'm not sure what is there to complain about Honey. it's literally the best! Depending on who you're shopping with, you may or may not get codes that work and that's just how it is.

Instead of paying $90 for perfume, Honey found a code that only have me paying $50. I recommend it.",2024-02-05,7 out of 10 people found this helpful
130,1 stars,Darlene Cash,"Used to be very useful but since it switched to PayPal Rewards, every purchase is not eligible, making this completely useless. Needs to go back to the way it used to be because it sucks now!",2024-02-05,12 out of 13 people found this helpful
131,1 stars,Sonny Lisi,"Used to be a must-have; now it's fairly useless most of the time. Doesn't work properly on most Amazon item pages, and discount codes are never valid.",2024-02-04,11 out of 13 people found this helpful
132,1 stars,Wensen Zhang,"Active nuisance with massive ""price history"" square that blocks site elements.
Has NEVER worked.",2024-02-04,5 out of 8 people found this helpful
133,1 stars,Ben A,useless. you cant add your own code so everybody could enjoy,2024-02-04,6 out of 8 people found this helpful
134,1 stars,Tina Branham,"This extension used to be amazing, but it literally just stopped working one day. The extension is always grayed out, even on sites that honey is active on. It doesn't scan the web for coupon codes anymore, and even when the honey symbol is orange and shows a green number indicating that there are deals available, clicking on the symbol does nothing -- nothing loads.",2024-02-02,10 out of 12 people found this helpful
135,1 stars,Craig Doran,Useless.,2024-02-02,17 out of 26 people found this helpful
136,5 stars,Jessica Baldwin,"I share this App with everyone all the time!  I have saved a boatload of money with it.  No it doesn't always have codes for every site, but sites like Shein for examples, it ALWAYS has loads.  It's just there for that time it can throw a coupon at the problem and save you some $$ :)",2024-02-02,6 out of 12 people found this helpful
137,3 stars,Brendan Veitch,ok,2024-02-01,2 out of 16 people found this helpful
138,5 stars,Eric Miller,saves alot of cash and is easy to use 100 percent great !,2024-02-01,11 out of 12 people found this helpful
139,5 stars,Reapen Souls,saves lots a cash,2024-02-01,4 out of 7 people found this helpful
140,1 stars,1Rancor1,Stopped working on Chrome as of 1/31/2024.,2024-01-31,8 out of 12 people found this helpful
141,5 stars,Eduardo Vilarinho Freitas,mto bom,2024-01-31,6 out of 6 people found this helpful
142,1 stars,Aaron,Won't turn on at all for me. Absolute garbage extension.,2024-01-31,11 out of 16 people found this helpful
143,1 stars,Brandon Turner,"Rewards is a scam, you can't cash out earnings and if you redeem to a gift card it fails and they blame it on your browser cache.",2024-01-30,18 out of 22 people found this helpful
144,1 stars,Laughing Fox,dosent work most of the time,2024-01-30,17 out of 19 people found this helpful
145,1 stars,Bearmore On A Yamaha,"Added this extension to get ""cash rewards"" from PayPal being I use Paypal numerous times a day. Have not received a single amount added to the account after numerous purchases over many days since adding the extension. Has managed to completely clog up and slow down my browsing experience though. Would be somewhat OK with that IF I were getting the cash back that was promised but once again a complete SCAM to get user info for their marketing B.S. Don't fall for it like I did.",2024-01-29,15 out of 18 people found this helpful
146,1 stars,Christopher Behr,Rewards just don't seem to track. One star for being a slightly faster way to find discount codes (even if 90% don't work),2024-01-29,3 out of 5 people found this helpful
147,5 stars,Colleen Faed,"I am so happy to have found this app, I get a little more off my purchases which all helps in this day and age, yeah!!!",2024-01-29,3 out of 7 people found this helpful
148,1 stars,de_xto,doesnt work dont waste your time,2024-01-27,13 out of 21 people found this helpful
149,1 stars,Elena Pinilla,"Se desactiva sólo, me cuesta varios intentos loggearme... un horror, nada cómodo",2024-01-26,4 out of 7 people found this helpful
150,5 stars,Jerzy Gilewicz,helps,2024-01-26,7 out of 10 people found this helpful
151,4 stars,eyoba aklil,paid work isa very important,2024-01-26,4 out of 11 people found this helpful
152,5 stars,Eoghan Harper,free money innit,2024-01-24,8 out of 20 people found this helpful
153,1 stars,Latef Kadri,it-s not that good ... no es muy bueno ...,2024-01-24,6 out of 10 people found this helpful
154,5 stars,MasonLP5420,best app ever it saven me 9$ on a 50$ hoodie and it continuees to save me more,2024-01-23,9 out of 15 people found this helpful
155,1 stars,Access Equipment Corp,Not giving me my points. Logs me off every other day. Discount codes NEVER work..,2024-01-23,15 out of 20 people found this helpful
156,3 stars,Ann Barnes,"It was alright, it was quite annoying though as the honey logo pops up so much and somehow saves money, I doubt it worked so I'm not trying it. It doesn't save that much ""money."" Anyway.",2024-01-23,10 out of 18 people found this helpful
157,5 stars,Pellei Zsolt,love it,2024-01-22,5 out of 6 people found this helpful
158,5 stars,Kalle Törner,saved 200 dollars on amazon,2024-01-22,6 out of 6 people found this helpful
159,1 stars,An Minh Phan,"Rewards Found / Activate Rewards is SOOO annoying.  I just need coupon codes, not some fake reward scheme.",2024-01-22,13 out of 14 people found this helpful
160,3 stars,MyKenzie Bennett,"Only works sometimes? Occasionally, honey will ""try"" all the codes and say that none worked, but if you manually copy paste them in, it works fine.",2024-01-20,20 out of 23 people found this helpful
161,1 stars,Maksym Prykhodko,"Спробував на декількох крупних інтернет-магазинах - всюди не працює, лажа.",2024-01-19,1 person found this review to be unhelpful
162,2 stars,Thomas Jablonski,"Rarely gets any savings...when it first came out, it was pretty good...not anymore",2024-01-19,15 out of 16 people found this helpful
163,1 stars,Lisa Buffo,Works 1/50 times MAYBE - it doesn't recognize the promo code section on almost every website. Asks me to login everytime and no way to search for the website you're on. 0/5 stars,2024-01-19,12 out of 13 people found this helpful
164,1 stars,Trung Nguyen,Always pop up next to the Check Out button and never has any coupon for me. Always ask me to login.,2024-01-18,11 out of 14 people found this helpful
165,5 stars,Christian,"amazing helper, i love it",2024-01-18,4 out of 6 people found this helpful
166,1 stars,Kade Foster,ok i did download this is and NO CUPONS WORKED WHY I THOUGHT THEY WERE REAL,2024-01-18,6 out of 7 people found this helpful
167,5 stars,Sebbygaming YT,very good very nice,2024-01-17,3 out of 7 people found this helpful
168,5 stars,Jimmy Martin,Love your cigars and service!!!,2024-01-16,3 out of 13 people found this helpful
169,3 stars,Florence Wit,I hate that the ikon comes on several times while your looking at a website. Just once is enough.,2024-01-16,9 out of 12 people found this helpful
170,1 stars,Clayton T,"Doesen't work, codes are expired.",2024-01-15,11 out of 18 people found this helpful
171,1 stars,Praval Bandari,"it didn't work once
all the codes are extinct",2024-01-14,13 out of 18 people found this helpful
172,5 stars,Tanya Stagnetto,This time it worked for me.  popped up and suggested to search for coupons and saved 10 pounds on 120.  Im okay with that so good for this time.  Mostly it doesn't work however but when it does its a great surprise,2024-01-14,4 out of 7 people found this helpful
173,1 stars,Martin1984m,Bei vielen geöffneten Tabs ist Chrome durch diese Erweiterung stark am ruckeln und teilweise nicht mehr bedienbar. Bitte unbedingt fixen,2024-01-13,0 out of 2 people found this helpful
174,1 stars,Sofia Vasquez,"Nunca me da cupones, ni me sugiere nada. Bastante decepcionada.",2024-01-13,10 out of 16 people found this helpful
175,5 stars,Lois Laynee,Very helpful and appreciate the savings!!!,2024-01-13,8 out of 12 people found this helpful
176,1 stars,CORE CAGE (CORECAGE),"Use to give you coupons, I haven't seen it work in years. Not sure what happened but it really sucks now. Plus its constantly spamming you stuff.",2024-01-12,12 out of 16 people found this helpful
177,1 stars,Pat Washburn,How do I turn this OFF forever!  It pops up all the time and mostly doesn't work.,2024-01-11,13 out of 20 people found this helpful
178,1 stars,MJ T,Loved it when it worked. Sick to death of it repeatedly asking me to log-in & never actually logging me in. Useless. Sadly deleting it now.,2024-01-11,15 out of 21 people found this helpful
179,1 stars,greg hughes,doesn't work.,2024-01-10,13 out of 21 people found this helpful
180,1 stars,C H,"It constantly spams you to sign up for a credit card, which ...if I'm shopping, I already have a credit card, dudes.  Plus, who wants to bank with a giant corporation that actually makes actual real people poor?

Doesn't work well anyway.

Trash.",2024-01-10,9 out of 14 people found this helpful
181,1 stars,danny san,"Doesn't work at all, way too much hype and it doesn't even do its job. Also, for international people, it never works",2024-01-09,9 out of 13 people found this helpful
182,5 stars,Griffin Schultz,,2024-01-08,
183,1 stars,Evan Bunce,dont even work,2024-01-08,8 out of 15 people found this helpful
184,1 stars,Elias Amsler,doesnt work,2024-01-08,12 out of 21 people found this helpful
185,4 stars,Nasser Abouzakhar,very nice and uesful,2024-01-08,7 out of 12 people found this helpful
186,5 stars,HANSANA ADHIKARI,It's more than you expect,2024-01-07,5 out of 11 people found this helpful
187,5 stars,Cohen Brooks,I was going to purchase something for over 100 dollars but honey gave me 16 dollars cash back and this is really good for me,2024-01-06,7 out of 11 people found this helpful
188,5 stars,Stacy Zhang,"amazing, It is the best deal platform I have ever used. thanks a lot",2024-01-05,8 out of 13 people found this helpful
189,2 stars,Connie Thomas,I can never get to where I can add an item I am looking at. It use to be simple all you did was just click and the item would go into Honey. Honey would send  notices if the price went down. Now I get adds and repeated sign in notices. It got worse not better.,2024-01-05,8 out of 16 people found this helpful
190,1 stars,Purple Pie,SAVE YOURSELF TIME. DONT BOTHER.,2024-01-05,10 out of 15 people found this helpful
191,5 stars,Gabriel Garcia,"Excelente extension, por fin una extension util que te genera ingresos a y descuentos en tus compras",2024-01-05,4 out of 6 people found this helpful
192,2 stars,K. Rodriguez,"When it works, it doesn't give coupons that save money. Sadly, it doesn't usually automatically pop-up and scan for coupons when I shop on my browser. Pretty disappointing :/",2024-01-04,7 out of 9 people found this helpful
193,1 stars,Michael chumakov,Never gives working coupons,2024-01-04,9 out of 11 people found this helpful
194,1 stars,Dan “Bighewg” Huguely,I was shopping for a T Shirt on NFL.COM and Honey informed me it found a coupon saving me $8.00 . So I was purchasing the item and the $8.00 discount disappeared from my purchase (STRANGE) so I ended up paying the full price of the item plus all the extras!! I was totally confuse at what had occurred. Maybe Honey will reimburse me or I just got beat or $8.00 extra dollars!!!!!  am pissed!!!!!,2024-01-04,2 out of 5 people found this helpful
